Id,Title,Is this an experimental talk?,State,Accepted track,Submitted for tracks,Reviewed for tracks,Accepted type,Submitted type
244,Characterization of Jet Quenching via Machine Learning,Yes,Accepted,,ML/AI and quantum computing in high-energy nuclear physics,ML/AI and quantum computing in high-energy nuclear physics,Poster presentation,Oral presentation
222,Modular Energy Loss Treatment (MELT) of high-momentum particles in a quark-gluon plasma,No,Accepted,,High-momentum hadrons and correlations,High-momentum hadrons and correlations,Poster presentation,Oral presentation
234,Quarkonium suppression with QTRAJ 1.1 beyond the dipole,No,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Poster presentation,Oral presentation
211,Heavy Quark dynamics in QGP using effective field theory,No,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Poster presentation,Oral presentation
245,Deriving a parton shower for jet thermalization in QCD plasmas,No,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Oral presentation
237,Rapid adiabatic hydrodynamization and a generalized picture of attractors in kinetic theory,No,Accepted,,"Nuclear PDFs, saturation, and early-time dynamics","Nuclear PDFs, saturation, and early-time dynamics",Poster presentation,Oral presentation
273,Enhanced anisotropies in pA collisions using a new Glauber model,No,Accepted,,"Nuclear PDFs, saturation, and early-time dynamics","Nuclear PDFs, saturation, and early-time dynamics",Poster presentation,Oral presentation
215,Production of \psi(2S) in jets using Fragmenting Jet Function framework,No,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Poster presentation,Oral presentation
225,Signatures of Initial-State Charge Geometry in Heavy-Ion Collisions,No,Accepted,,"Nuclear PDFs, saturation, and early-time dynamics","Nuclear PDFs, saturation, and early-time dynamics",Poster presentation,Oral presentation
193,Charmed-Hadron $v_0(p_T)$ as a new observable to probe collective behaviour of Heavy-Quark in the QGP,No,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Poster presentation,Oral presentation
259,"High-$p_T$ $R_{AB},v_2,v_3$ and $v_4$ from Energy Loss in pPb, dAu, OO, and NeNe",No,Accepted,,High-momentum hadrons and correlations,High-momentum hadrons and correlations,Poster presentation,Oral presentation
145,Exploring the ultraviolet behavior of jet-medium scatterings beyond the leading logarithm approximation,No,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Oral presentation
107,From Unified Hadron and Jet Suppression to Hadron-triggered Thermal Recoil Jets,No,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Oral presentation
106,Heavy-flavor dileptons: towards precision QGP thermometry and heavy-quark transport,No,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Poster presentation,Oral presentation
117,Generalized detector correlators in the heavy-ion environment from the light-ray OPE.,No,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Oral presentation
119,Quantifying vacuum-like jets in heavy-ion collisions: a Machine Learning study,No,Accepted,,ML/AI and quantum computing in high-energy nuclear physics,ML/AI and quantum computing in high-energy nuclear physics,Poster presentation,Oral presentation
148,Electromagnetic Radiation from Baryon-Rich Matter in Heavy-Ion Collisions,No,Accepted,,Electromagnetic and electroweak probes,Electromagnetic and electroweak probes,Poster presentation,Oral presentation
152,Bayesian Constraints on Pre-Equilibrium Jet Quenching and Predictions for Oxygen Collisions,No,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Oral presentation
143,Glauber quark and gluon contributions to jet energy loss in QGP,No,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Oral presentation
113,Energy–Energy Correlators as a Probe of the Vacuum–Medium Transition in Jet Showers,No,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Oral presentation
105,All is More in Jet Quenching,No,Accepted,,ML/AI and quantum computing in high-energy nuclear physics,ML/AI and quantum computing in high-energy nuclear physics,Poster presentation,Oral presentation
104,Apples to Apples in Jet Quenching,No,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Oral presentation
103,Transverse momentum broadening beyond the dipole approximation at strong coupling,No,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Oral presentation
116,Disentangling Sub-Eikonal Flow Effects: Boosts vs Quantum Effects,No,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Oral presentation
121,Charm quark production from the preequilibrium: estimates and phenomenological relevance,No,Accepted,,"Nuclear PDFs, saturation, and early-time dynamics","Nuclear PDFs, saturation, and early-time dynamics",Poster presentation,Oral presentation
142,Coupled charm and charmonium transport in a strongly coupled quark-gluon plasma,No,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Poster presentation,Oral presentation
120,One Point Energy Correlator in Semi-Inclusive Deep Inelastic Scattering at Twist-4,No,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Oral presentation
151,Jet Quenching and Fluctuations.,No,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Oral presentation
12,Geometric Scaling and Gluon Saturation at the EIC,Yes,Accepted,,"Nuclear PDFs, saturation, and early-time dynamics","Nuclear PDFs, saturation, and early-time dynamics",Poster presentation,Oral presentation
58,Radial and anisotropic flow in Pb+Pb collisions with the ATLAS detector,Yes,Accepted,,High-momentum hadrons and correlations,High-momentum hadrons and correlations,Poster presentation,Oral presentation
75,Elliptic flow of charm quarks produced in the early stage of pA collisions,No,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Poster presentation,Oral presentation
3,Identifying Jet Quenching in Simulated Heavy-Ion Collisions with Machine Learning Models,No,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Oral presentation
32,Unified Resummation of Soft Gluon Radiation in Heavy Meson Pair Photoproduction,No,Accepted,,"Nuclear PDFs, saturation, and early-time dynamics","Nuclear PDFs, saturation, and early-time dynamics",Poster presentation,Oral presentation
81,Bottomonium transport in a strongly coupled quark-gluon plasma,No,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Poster presentation,Oral presentation
27,Dilepton Spectra and Even Flow Harmonics in a Magnetized QGP: An Ideal Hydrodynamic Study,No,Accepted,,Electromagnetic and electroweak probes,Electromagnetic and electroweak probes,Poster presentation,Oral presentation
61,Dijet probes for initial state effects in p+A collisions at ATLAS,Yes,Accepted,,"Nuclear PDFs, saturation, and early-time dynamics","Nuclear PDFs, saturation, and early-time dynamics",Poster presentation,Oral presentation
63,Dijet correlations and medium response in Pb+Pb collisions with ATLAS,Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Oral presentation
23,(3+1)D event-by-event pre-equilibrium dynamics in heavy-ion collisions,No,Accepted,,"Nuclear PDFs, saturation, and early-time dynamics","Nuclear PDFs, saturation, and early-time dynamics",Poster presentation,Oral presentation
25,Unresolved Questions in Cold Nuclear Matter and Future Strategies,No,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Oral presentation
91,Open quantum system approach to the transverse momentum broadening of a colour dipole,No,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Oral presentation
1,On the Origin of QCD Collectivity in High-Multiplicity Jets: A Transport Model Study,No,Accepted,,High-momentum hadrons and correlations,High-momentum hadrons and correlations,Poster presentation,Oral presentation
11,A new TMD framework for quarkonium production in elementary collisions and QCD matter,No,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Poster presentation,Oral presentation
53,Results on photon-photon scattering processes in ultra-peripheral Pb+Pb collisions with ATLAS,Yes,Accepted,,Electromagnetic and electroweak probes,Electromagnetic and electroweak probes,Poster presentation,Oral presentation
72,Heavy flavor jets in flowing QCD matter,No,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Oral presentation
6,"Flavor and path-length dependence of jet quenching: inclusive jets, b-jets, γ-jets, and jet substructure",No,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Oral presentation
9,Measurements of the Two-Point Energy Correlator in pp Collisions at $\sqrt{s}=510$ GeV at STAR,Yes,Accepted,,High-momentum hadrons and correlations,High-momentum hadrons and correlations,Poster presentation,Oral presentation
13,Event-by-event jet induced hydro response from flow-matching generative model in heavy-ion collisions,No,Accepted,,ML/AI and quantum computing in high-energy nuclear physics,ML/AI and quantum computing in high-energy nuclear physics,Poster presentation,Oral presentation
44,Non-Equilibrium Dynamics in QCD and Holography,No,Accepted,,"Nuclear PDFs, saturation, and early-time dynamics","Nuclear PDFs, saturation, and early-time dynamics",Poster presentation,Oral presentation
76,Melting of $c \bar c$ and $b \bar b$ pairs in the pre-equilibrium stage of proton-nucleus collisions at the Large Hadron Collider,No,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Poster presentation,Oral presentation
90,Signatures of local acceleration of quark-gluon plasma in the dilepton production,No,Accepted,,Electromagnetic and electroweak probes,Electromagnetic and electroweak probes,Poster presentation,Oral presentation
79,Anisotropic jet substructure,No,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Oral presentation
33,Evidence of the Magnetic Component in the Quark-Gluon Plasma,No,Accepted,,ML/AI and quantum computing in high-energy nuclear physics,ML/AI and quantum computing in high-energy nuclear physics,Poster presentation,Oral presentation
98,Multiplicity dependence of $J/\psi$ and $\psi$(2S) charmonium states in p+p and p+Au collisions at $\sqrt{s}=$200 GeV measured by the PHENIX collaboration,Yes,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Poster presentation,Oral presentation
82,Covariant Jet Momentum Broadening in QCD Effective Kinetic Theory,No,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Oral presentation
43,Anisotropic time evolution of sound modes in Bjorken expanding holographic plasma,No,Accepted,,"Nuclear PDFs, saturation, and early-time dynamics","Nuclear PDFs, saturation, and early-time dynamics",Poster presentation,Oral presentation
80,A Fixed Target Program for the EIC,No,Accepted,,Future experimental facilities and new techniques,Future experimental facilities and new techniques,Poster presentation,Oral presentation
31,Dual-grid kinetic framework for the real-time evolution of jet-induced perturbations in QCD matter,No,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Oral presentation
51,Probing the transverse structure of nPDF modifications with jet production in ultra-peripheral Pb+Pb collisions with the ATLAS detector,Yes,Accepted,,"Nuclear PDFs, saturation, and early-time dynamics","Nuclear PDFs, saturation, and early-time dynamics",Poster presentation,Oral presentation
4,Quantifying chaos and instabilities in Glasma via Lyapunov exponents,No,Accepted,,"Nuclear PDFs, saturation, and early-time dynamics","Nuclear PDFs, saturation, and early-time dynamics",Poster presentation,Oral presentation
57,$Z$ boson production in O+O collisions measured by ATLAS,Yes,Accepted,,Electromagnetic and electroweak probes,Electromagnetic and electroweak probes,Poster presentation,Oral presentation
26,Characterizing QGP properties with Quarkonium beyond the Markovian limit,No,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Poster presentation,Oral presentation
60,"Charged particle multiplicity, pseudorapidity distributions and mean transverse momentum in O+O and Ne+Ne collisions with ATLAS",Yes,Accepted,,High-momentum hadrons and correlations,High-momentum hadrons and correlations,Poster presentation,Oral presentation
71,"OO and NeNe systematic study on nucleon widths, multi-particle cumulants, and causality constraints",No,Accepted,,High-momentum hadrons and correlations,High-momentum hadrons and correlations,Poster presentation,Oral presentation
97,Production and Hadronization of B-mesons in p+p collisions at PHENIX,Yes,Accepted,,Heavy quarks and quarkonia,Heavy quarks and quarkonia,Poster presentation,Oral presentation
30,Signals of quark-enhanced heavy-ion jets with energy correlators,No,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Oral presentation
46,Dijet production in intermediate x at EIC,No,Accepted,,"Nuclear PDFs, saturation, and early-time dynamics","Nuclear PDFs, saturation, and early-time dynamics",Poster presentation,Oral presentation
36,Jet Modifications Across the QGP and Hadronic Phases in J-PHASE Generator with SUBA-Jet,No,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Oral presentation
14,$\phi$ and $\Omega$ production in heavy ion collisions via recombination of jet parton showers,No,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Oral presentation
101,Forward $\phi$-meson measurement in small and large systems at $\sqrt{s_{\rm NN}}$=200 GeV by PHENIX,Yes,Accepted,,High-momentum hadrons and correlations,High-momentum hadrons and correlations,Poster presentation,Oral presentation
59,"Two- and four-particle correlations in p+O, O+O, and Ne+Ne collisions with the ATLAS detector",Yes,Accepted,,High-momentum hadrons and correlations,High-momentum hadrons and correlations,Poster presentation,Oral presentation
5,Hard Probes in the Presence of the Chiral Magnetic Effect,No,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Oral presentation
19,Probing nPDF and fully coherent radiation through electromagnetic signals at the LHC,No,Accepted,,"Nuclear PDFs, saturation, and early-time dynamics","Nuclear PDFs, saturation, and early-time dynamics",Poster presentation,Oral presentation
94,"Reconstructed jets and jet substructure in 200 GeV p+p, p+Au, and d+Au collisions with PHENIX",Yes,Accepted,,Jet modification and medium response,Jet modification and medium response,Poster presentation,Oral presentation
49,Interferometry probe of the space-time structure of jet-induced medium response,No,Accepted,Jet modification and medium response,Jet modification and medium response,Jet modification and medium response,Oral presentation,Oral presentation
378,Revealing the Cronin effect through Drell Yan in p-A collisions,No,Accepted,"Nuclear PDFs, saturation, and early-time dynamics","Nuclear PDFs, saturation, and early-time dynamics","Nuclear PDFs, saturation, and early-time dynamics",Oral presentation,Oral presentation
277,DIS dijet production with finite-energy corrections and its back-to-back limit,No,Accepted,"Nuclear PDFs, saturation, and early-time dynamics","Nuclear PDFs, saturation, and early-time dynamics","Nuclear PDFs, saturation, and early-time dynamics",Oral presentation,Oral presentation
89,Semiclassical Worldline Methods for High-Energy QCD Beyond the Eikonal Approximation,No,Accepted,Future experimental facilities and new techniques,Future experimental facilities and new techniques,Future experimental facilities and new techniques,Oral presentation,Oral presentation
149,Towards a Unified Picture of Nuclear QCD: Mapping the Transition from High-Twist to Color Glass Condensate Dynamics,No,Accepted,"Nuclear PDFs, saturation, and early-time dynamics","Nuclear PDFs, saturation, and early-time dynamics","Nuclear PDFs, saturation, and early-time dynamics",Oral presentation,Oral presentation
263,Hamiltonian real-time quantum evolution of particles in the Glasma,No,Accepted,Jet modification and medium response,Jet modification and medium response,Jet modification and medium response,Oral presentation,Oral presentation
272,Formation time as a probe of early medium effects due to colour coherence,No,Accepted,Jet modification and medium response,Jet modification and medium response,Jet modification and medium response,Oral presentation,Oral presentation
34,Unified description of longitudinal and transverse parton dynamics in cold nuclear matter,No,Accepted,Future experimental facilities and new techniques,Future experimental facilities and new techniques,Future experimental facilities and new techniques,Oral presentation,Oral presentation
366,How the nonequilibrium initial stages influence medium-induced radiation,No,Accepted,"Nuclear PDFs, saturation, and early-time dynamics","Nuclear PDFs, saturation, and early-time dynamics","Nuclear PDFs, saturation, and early-time dynamics",Oral presentation,Oral presentation
302,First exploration of hard-soft correlations from IP-Glasma,No,Accepted,"Nuclear PDFs, saturation, and early-time dynamics","Nuclear PDFs, saturation, and early-time dynamics","Nuclear PDFs, saturation, and early-time dynamics",Oral presentation,Oral presentation
296,Electron-Ion Collisions in the JETSCAPE framework,No,Accepted,"Nuclear PDFs, saturation, and early-time dynamics","Nuclear PDFs, saturation, and early-time dynamics","Nuclear PDFs, saturation, and early-time dynamics",Oral presentation,Oral presentation
